Zoom level;Scale;Usage suggestion;New legend
0;591657527.591555;Global;0 - 591657527.591555 - Global
1;295828763.795777;Global;1 - 295828763.795777 - Global
2;147914381.897889;Subcontinent;2 - 147914381.897889 - Subcontinent
3;73957190.948944;Subcontinent;3 - 73957190.948944 - Subcontinent
4;36978595.474472;Subcontinent;4 - 36978595.474472 - Subcontinent
5;18489297.737236;Large country;5 - 18489297.737236 - Large country
6;9244648.868618;Large country;6 - 9244648.868618 - Large country
7;4622324.434309;Small country/US state;7 - 4622324.434309 - Small country/US state
8;2311162.217155;Small country/US state;8 - 2311162.217155 - Small country/US state
9;1155581.108577;Large metropolitan area;9 - 1155581.108577 - Large metropolitan area
10;577790.554289;Large metropolitan area;10 - 577790.554289 - Large metropolitan area
11;288895.277144;City;11 - 288895.277144 - City
12;144447.638572;Town;12 - 144447.638572 - Town
13;72223.819286;Village;13 - 72223.819286 - Village
14;36111.909643;Village;14 - 36111.909643 - Village
15;18055.954822;Small road;15 - 18055.954822 - Small road
16;9027.977411;Street;16 - 9027.977411 - Street
17;4513.988705;Street block;17 - 4513.988705 - Street block
18;2256.994353;Address;18 - 2256.994353 - Address
19;1128.497176;Street intersection;19 - 1128.497176 - Street intersection
20;564.248588;Street intersection;20 - 564.248588 - Street intersection
21;282.124294;Street intersection;21 - 282.124294 - Street intersection
22;141.062147;Street intersection;22 - 141.062147 - Street intersection
23;70.5310735;Street intersection;23 - 70.5310735 - Street intersection
